Название;Цена;Ссылка
Из Шри-Ланки: Чёрный чай McCoy Teas, Earl Grey, в пакетиках;219;https://samokat.ru/product/123c169b-be85-11ed-b970-08c0eb32008b
Чёрный чай Richard, Royal English Breakfast, в пакетиках;428;https://samokat.ru/product/48a323e4-d56b-11e9-83c7-005056030656
Чёрный чай Greenfield, Spring Melody, в пакетиках;149;https://samokat.ru/product/33eae9ed-fa98-11e8-80c5-0cc47a817925
Чёрный чай Greenfield, Spring Melody, в пакетиках;496;https://samokat.ru/product/cbd00d5d-43ed-11e9-80c5-0cc47a817925
Чёрный чай Floris, ассорти тизанов, 5 вкусов, в пакетиках;179;https://samokat.ru/product/5842bd0d-de8c-11ed-885e-08c0eb32014b
Из Шри-Ланки: Чёрный чай McCoy Teas, English Breakfast, в пакетиках;219;https://samokat.ru/product/18b754a2-be85-11ed-b970-08c0eb32008b
Чёрный чай Curtis, Immuno, грейпфрут, лайм и мандарин, в пирамидках;155;https://samokat.ru/product/6a80c09c-88b9-11eb-85a3-1c34dae33151
Чёрный чай Greenfield, Golden Ceylon, в пакетиках;496;https://samokat.ru/product/270aff1c-0179-11eb-8599-1c34dae33151
Чёрный чай Herbarus, Английский завтрак, в пакетиках;179;https://samokat.ru/product/90ff793a-b493-11ee-ae7a-08c0eb320147
Чёрный чай Ahmad Tea, Classic Black, в пакетиках;339;https://samokat.ru/product/d0096ba1-8066-11ed-b109-08c0eb31fffb
Манговый улун Самокат, крупнолистовой;219;https://samokat.ru/product/e2799161-7256-11ee-b972-08c0eb32008b
Зелёный чай Be Fruit Be, крупнолистовой, с соком, кусочками имбиря и лемонграссом;319;https://samokat.ru/product/0a3a0947-6eac-11ef-b10b-08c0eb31fffb
Зелёный чай Самокат, клюква и смородина, в пирамидках;219;https://samokat.ru/product/35b85df1-b9b0-11ec-ae6e-08c0eb320147
Улун Самокат, в пирамидках;205;https://samokat.ru/product/a7ad09fa-bbee-11ec-b96b-08c0eb32008b
